"","d13C_A","sd_d13C_A","d15N_A","sd_d15N_A","d13C_P","sd_d13C_P","d15N_P","sd_d15N_P","d13C_T","sd_d13C_T","d15N_T","sd_d15N_T"
"February_2018",-31.293957933923,0.547835140137217,11.2827637237777,5.7760895652053,-31.6925,0.212663270610292,6.06125,0.329203457859523,-32.075,0.170899580650938,0.559,0.318914826664843
"November_2018",-22.1134842706742,4.80174308510885,3.67231345333307,1.50755628951388,-26.31975,0.0493043270582472,2.413,0.619124650884887,-31.5665,0.210704374262456,0.9295,0.211689237641722
"June_2018",-26.0804978719188,1.96145699465384,9.97525604778667,3.34387483747697,-28.02225,0.297040261019726,6.694,0.32788107600165,-29.78,0.105432442824779,3.676,0.0859573537672413
"February_2019",-26.8432526140942,1.02702179735743,9.41748072692394,4.86818288614434,-27.87,0.1113552872566,4.18,0.258650343127551,-28.4466666666667,0.149777612924406,1.15333333333333,0.272274371422162
